Date,Amount,Category,Description
01-01-2025,550.0,Income,Reward
01-02-2025,6000.0,Expense,Bulb
01-02-2025,6000.0,Expense,Bulb
02-02-2025,4500.0,Income,Salary
03-02-2025,3200.0,Expense,Switch
04-02-2025,1500.0,Income,Freelance Work
05-02-2025,5000.0,Expense,LED
06-02-2025,7000.0,Income,Investment Return
07-02-2025,2500.0,Expense,Panel
08-02-2025,4800.0,Income,Bonus
09-02-2025,6000.0,Expense,Meter
10-02-2025,5500.0,Income,Gift
05-03-2025,3500.0,Expense,Internet Bill
15-03-2025,9000.0,Income,Project Bonus
20-03-2025,450.0,Expense,Snacks
25-03-2025,800.0,Expense,Books
31-03-2025,12000.0,Income,Freelance Design
05-05-2025,670.32,Expense,Laptop accessories
06-05-2025,500.0,Income,Salary
07-05-2025,12563.0,Income,Enjoy
05-06-2025,650.2,Expense,Mobile
07-06-2025,540.0,Income,Food
